Compare,Icon,Name,Type,Element,PATK,MATK,PDEF,MDEF,TOTAL,COST,Colo Skill,C. Aid Skill
compare,,"Staff of the Underworld
冥界の杖",Staff,,3423,3588,2809,2806,"12626
(Lv140)",25,"Angel’s Death Rattle (V)
Heal 2-3 allies by a great amount of HP. Between The Start of Colosseum & 5 Minutes before it ends, Recover 10sp with every use.","Recovery Support (IV)
Fixed chance to massively increase HP recovered while healing."
Compare,,"Blessings & Curses
祝福と呪詛",Instr.,,4244,3931,2173,2289,"12637
(Lv140)",25,"The Passion of the Gladiator (V)
Increase the physical ATK and magical DEF of 2-3 allies by a great amount.","Assistance Support (IV)
Fixed chance to massively increase support effects while providing backup."
Compare,,"Destiny's Horoscope
天命のホロスコープ",Tome,,3832,4305,2214,2286,"12637
(Lv140)",25,"Exorcist's Incantation (V)
Reduce the magical ATK and magical DEF of 2-3 enemies by a great amount.","Assistance Support (IV)
Fixed chance to massively increase support effects while providing backup."
Compare,,"Anguished Clock
悩乱時計",Focus,,4095,4174,2178,2176,"12623
(Lv140)",25,"魔絶の滝波(Ⅴ)
Deal great magical damage to 1-3 enemies.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Spear of Prideful Fracture
傲慢を砕く槍",Polearm,,4091,4310,1946,2291,"12638
(Lv140)",25,"Evil Thunder of Assault (V)
Deal great magical damage to 1-3 enemies, and increase own magical ATK by a small amount.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Dance of Death
死の舞踏",Hammer,,4365,3744,2355,2168,"12632
(Lv140)",25,"Hailstorm of Defense (V)
Deal great physical damage to 1-3 enemies, and decrease their physical DEF by a small amount.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Meaning of Purity
純潔の意思",Polearm,,3141,3437,1524,1733,"9835
(Lv140)",21,"Hells of Sorcery (V)
Deal great magical damage to 1-3 enemies, and increase Power when Allies Nightmare [警鐘ハ散華ノ火花ヲ呼ブ(The Bell Sounds a Wildfire)] is active.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Meaning of Parvenu
成金の意思",Blade,,3482,2985,1732,1622,"9821
(Lv140)",21,"Stone Hail Pursuit (V)
Deal colossal physical damage to 1 enemy. Increase Combo Count by +5 when comboing.","乾坤一擲/剣戟(弐)
When Attacking, Chance to get a small amount of inochi(lifeforce). ※Increased Power with more Blades in Main Grid (Small ~ Massive)"
Compare,,"Staff of the Gentleman's Watch
紳士の時計の杖",Staff,,2639,2864,2125,2210,"9838
(Lv140)",21,"身護の誓願(Ⅴ)
Heal 2-3 allies by a moderate amount of HP, and increase their magical DEF by a small amount.","Recovery Support (III)
Fixed chance to greatly increase HP recovered while healing."
Compare,,"Mechanical Documents
絡繰り文書",Tome,,3487,2990,1526,1852,"9855
(Lv140)",21,"Incantation of Breaking (IV)
Reduce the physical ATK and magical DEF of 1-3 enemies by a great amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Scythe of Hypocrisy
偽善の鎌",Polearm,,3059,3435,1551,1796,"9841
(Lv140)",21,"Evil Thunder of Defense (V)
Deal great magical damage to 1-3 enemies, and decrease their magical DEF by a small amount.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Deep Abyss of Restriction
束縛の深淵",Blade,,3687,2362,1934,1874,"9857
(Lv140)",21,"Flames of Assault (V)
Deal colossal physical damage to 1 enemy, and increase own physical ATK by a small amount.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Obsessive Violet Bear
執着の紫熊",Focus,,2147,3032,1690,1707,"8576
(Lv140)",19,"Evil Hail of Assault (IV)
Deal great magical damage to 1-2 enemies, and increase own magical ATK by a small amount.","Dauntless Courage (II)
Fixed chance to moderately increase damage while attacking."
Compare,,"Universal Requiem
遍く鎮魂",Staff,,2670,2542,1712,1659,"8583
(Lv140)",19,"Breath of Assault (IV)
Heal 2 allies by a great amount of HP, and increase their physical ATK by a small amount.","Recover P.ATK (II)
Fixed chance to Increase the physical ATK of 1 ally in the vanguard by a moderate amount while healing."
